Name,Email,Status,Presentee,Absentee,Phone,Date
Aarav Sharma,aarav.sharma@example.com,,,,,
Vihaan Verma,vihaan.verma@example.com,PRESENT,,,,
Isha Kapoor,isha.kapoor@example.com,PRESENT,,,,
Aditya Nair,aditya.nair@example.com,ABSENT,,,,
Anika Patel,anika.patel@example.com,ABSENT,,,,
Rohan Mehta,rohan.mehta@example.com,ABSENT,,,,
Pooja Deshmukh,pooja.deshmukh@example.com,,,,,
Aryan Singh,aryan.singh@example.com,,,,,
Nisha Malhotra,nisha.malhotra@example.com,,,,,
Ravi Iyer,ravi.iyer@example.com,,,,,
Priya Bansal,priya.bansal@example.com,,,,,
Kiran Rao,kiran.rao@example.com,,,,,
Siddharth Khanna,siddharth.khanna@example.com,,,,,
Tara Gupta,tara.gupta@example.com,,,,,
Rahul Reddy,rahul.reddy@example.com,,,,,
Simran Joshi,simran.joshi@example.com,,,,,
Kunal Thakur,kunal.thakur@example.com,,,,,
Meera Bajaj,meera.bajaj@example.com,,,,,
Rajiv Kaul,rajiv.kaul@example.com,,,,,
Neha Bose,neha.bose@example.com,,,,,
,,,2,3,,2024-10-29
